Order_Date,Ship_Date,Ship_Mode,Segment,City,State,Postal_Code,Region,Category,Sub-Category,Product_Name,Sales,Quantity,Discount,Profit,Profit_Margin,Year_Month,Year,Month,Shipping_Days
2017-10-26,2017-11-02,Standard Class,Consumer,Rochester,Minnesota,55901,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,48.0,2017-10,2017,10,7
2016-04-05,2016-04-10,Second Class,Home Office,Houston,Texas,77095,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,8.75,2016-04,2016,4,5
2016-09-17,2016-09-22,Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,32.99999999999999,2016-09,2016,9,5
2016-09-17,2016-09-22,Standard Class,Corporate,Los Angeles,California,90036,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,11.249999999999998,2016-09,2016,9,5
2016-09-17,2016-09-22,Standard Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,47.99999999999999,2016-09,2016,9,5
2015-01-31,2015-02-05,Second Class,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,47.99999999999999,2015-01,2015,1,5
2015-01-31,2015-02-05,Second Class,Consumer,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,30.999999999999993,2015-01,2015,1,5
2015-01-31,2015-02-05,Second Class,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,49.00000000000001,2015-01,2015,1,5
2017-11-06,2017-11-12,Standard Class,Home Office,Portland,Oregon,97206,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,-66.66666666666666,2017-11,2017,11,6
2017-11-09,2017-11-11,Second Class,Home Office,New York City,New York,10009,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,42.0,2017-11,2017,11,2
2017-06-17,2017-06-20,First Class,Consumer,San Francisco,California,94122,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,35.0,2017-06,2017,6,3
2016-09-06,2016-09-11,Standard Class,Corporate,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,29.000000000000004,2016-09,2016,9,5
2016-08-29,2016-09-02,Standard Class,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,35.0,2016-08,2016,8,4
2016-08-29,2016-09-02,Standard Class,Home Office,Chicago,Illinois,60610,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,-11.25,2016-08,2016,8,4
2016-08-29,2016-09-02,Standard Class,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,-170.0,2016-08,2016,8,4
2016-12-01,2016-12-04,Second Class,Consumer,Rochester,Minnesota,55901,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,49.0,2016-12,2016,12,3
2015-11-13,2015-11-17,Standard Class,Consumer,Aurora,Colorado,80013,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,-11.250000000000002,2015-11,2015,11,4
2015-11-13,2015-11-17,Standard Class,Consumer,Aurora,Colorado,80013,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,-3.75,2015-11,2015,11,4
2015-11-13,2015-11-17,Standard Class,Consumer,Aurora,Colorado,80013,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,-70.0,2015-11,2015,11,4
2017-11-23,2017-11-28,Standard Class,Consumer,Charlotte,North Carolina,28205,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,23.750000000000004,2017-11,2017,11,5
2017-11-23,2017-11-28,Standard Class,Consumer,Charlotte,North Carolina,28205,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,7.5,2017-11,2017,11,5
2017-11-23,2017-11-28,Standard Class,Consumer,Charlotte,North Carolina,28205,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,32.50000000000001,2017-11,2017,11,5
2015-10-15,2015-10-20,Standard Class,Home Office,Orland Park,Illinois,60462,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,20.000000000000004,2015-10,2015,10,5
2017-12-25,2017-12-30,Standard Class,Corporate,New York City,New York,10035,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,25.999999999999996,2017-12,2017,12,5
2016-11-03,2016-11-10,Standard Class,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,30.000000000000004,2016-11,2016,11,7
2016-11-03,2016-11-10,Standard Class,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,49.00000000000001,2016-11,2016,11,7
2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,36.25000000000001,2014-08,2014,8,2
2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,35.0,2014-08,2014,8,2
2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925,31.25,2014-08,2014,8,2
2014-08-25,2014-08-27,Second Class,Consumer,Columbus,Ohio,43229,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,33.75,2014-08,2014,8,2
2015-03-02,2015-03-06,Standard Class,Consumer,Seattle,Washington,98103,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,21.000000000000004,2015-03,2015,3,4
2015-04-05,2015-04-10,Standard Class,Corporate,Bristol,Tennessee,37620,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,-73.33333333333333,2015-04,2015,4,5
2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,19805,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,39.0,2016-06,2016,6,3
2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,45.0,2016-06,2016,6,3
2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368,27.999999999999996,2016-06,2016,6,3
2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,45.0,2016-06,2016,6,3
2016-06-12,2016-06-15,First Class,Consumer,Wilmington,Delaware,19805,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.7316,28.999999999999996,2016-06,2016,6,3
2014-12-26,2014-12-28,Second Class,Home Office,Houston,Texas,77041,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,-1.4285714285714286,2014-12,2014,12,2
2014-09-20,2014-09-25,Standard Class,Consumer,Bloomington,Illinois,61701,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,-66.0,2014-09,2014,9,5
2017-11-05,2017-11-12,Standard Class,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,-76.66666666666667,2017-11,2017,11,7
2017-11-05,2017-11-12,Standard Class,Consumer,Phoenix,Arizona,85023,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,12.5,2017-11,2017,11,7
2016-11-06,2016-11-10,Second Class,Home Office,Los Angeles,California,90004,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,-11.249999999999998,2016-11,2016,11,4
